Datetime,January,February,March,April,May,June,July,August,September,October,November,December,day,Sunday,Monday,Thuesday,Wednesday,Thursday,Friday,Saturday,Volume,Open,High,Low,Close
2010-03-31 20:00:00,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,329,93.519,93.520,93.403,93.407
2010-03-31 20:10:00,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,329,93.410,93.447,93.364,93.431
2010-03-31 20:20:00,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,227,93.434,93.440,93.371,93.394
2010-03-31 20:30:00,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,232,93.396,93.419,93.350,93.412
2010-03-31 20:40:00,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,175,93.410,93.475,93.398,93.452
2010-03-31 20:50:00,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,304,93.450,93.450,93.390,93.395
2010-03-31 21:00:00,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,154,93.392,93.416,93.375,93.394
2010-03-31 21:10:00,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,93.392,93.396,93.357,93.357
2010-03-31 21:20:00,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,292,93.355,93.423,93.327,93.389
2010-03-31 21:30:00,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,234,93.385,93.394,93.316,93.383
2010-03-31 21:40:00,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,267,93.386,93.388,93.303,93.304
2010-03-31 21:50:00,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,260,93.302,93.340,93.284,93.323
2010-04-30 10:50:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,466,94.096,94.106,93.978,94.022
2010-04-30 11:00:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,499,94.020,94.096,93.990,94.032
2010-04-30 11:10:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,360,94.028,94.112,94.020,94.096
2010-04-30 11:20:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,360,94.098,94.160,94.078,94.128
2010-04-30 11:30:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,395,94.126,94.236,94.120,94.212
2010-04-30 11:40:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,253,94.216,94.250,94.182,94.234
2010-04-30 11:50:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,291,94.236,94.276,94.232,94.246
2010-04-30 12:00:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,309,94.248,94.278,94.168,94.196
2010-04-30 12:10:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,315,94.198,94.256,94.190,94.196
2010-04-30 12:20:00,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,389,94.194,94.212,94.108,94.124
