Datetime,Volume_x,Open_x,High_x,Low_x,Close_x,Rate_x,Volume_y,Open_y,High_y,Low_y,Close_y,Rate_y,Volume_x,Open_x,High_x,Low_x,Close_x,Rate_x,Volume_y,Open_y,High_y,Low_y,Close_y,Rate_y,Volume_x,Open_x,High_x,Low_x,Close_x,Rate_x,Volume_y,Open_y,High_y,Low_y,Close_y,Rate_y,Volume,Open,High,Low,Close,Rate
2019-05-08 06:00,20390,110.252,110.293,109.905,110.099,-138.7729927801687,20225,123.367,123.522,123.110,123.228,-112.67194630655686,28382,77.314,77.382,76.898,76.948,-473.3942106216206,52631,144.164,144.189,143.042,143.198,-670.0701978302349,100216,72.81,72.817,71.845,72.404,-557.6157121274631,84587,81.846,81.952,81.572,81.688,-193.04547564939185,117234,108.13,108.277,107.870,107.9,-212.70692684730395
2019-05-09 06:00,24085,110.09,110.109,109.473,109.774,-287.03787809973886,22456,123.21,123.266,122.488,123.083,-103.0760490219912,29339,76.978,76.996,76.344,76.718,-337.75884018809387,55488,143.191,143.256,142.236,142.778,-288.42594855822705,92393,72.382,72.504,72.033,72.324,-80.13041916499535,93389,81.682,81.727,81.125,81.454,-279.13126515022725,123177,107.898,108.283,107.614,108.15,233.5539120280353
2019-05-10 06:00,29920,109.769,110.050,109.475,109.953,167.6247392250977,25861,123.103,123.616,123.045,123.538,353.3626312924968,40143,76.722,77.236,76.574,76.974,328.4585907562493,63111,142.827,143.242,142.518,142.942,80.51698908470324,127038,72.346,72.782,72.222,72.537,264.0090675365639,115018,81.454,82.052,81.342,81.962,623.6648906131188,134475,108.144,108.795,108.070,108.66,477.14158899244626
2019-05-13 06:00,22176,109.774,109.835,109.022,109.305,-427.2414232878405,19184,123.327,123.451,122.550,122.691,-515.7021576783638,25786,76.787,76.918,75.734,75.898,-1157.7480563116283,46597,142.736,142.872,141.208,141.642,-766.4499495572204,87855,72.405,72.532,71.627,71.778,-865.9622954215804,83577,81.777,81.840,80.934,81.071,-863.3234283478278,114408,108.504,108.921,108.395,108.61,97.69225097691749
2019-05-14 06:00,14750,109.302,109.772,109.148,109.61,281.7880734112759,16212,122.676,123.400,122.586,122.809,108.41566402555966,19559,75.9,76.360,75.790,76.115,283.2674571804864,38309,141.625,142.180,141.373,141.466,-112.268314210056,68630,71.786,72.288,71.704,72.064,387.26214025017634,69393,81.1,81.548,80.974,81.416,389.64241676942356,97542,108.613,109.001,108.551,108.659,42.35220461639627
2019-05-15 06:00,17748,109.622,109.702,109.154,109.594,-25.542318147822336,19463,122.809,123.094,122.083,122.764,-36.642265631999045,22690,76.112,76.172,75.526,75.933,-235.17973512716503,44582,141.473,141.648,140.207,140.751,-510.3447300898464,73403,72.078,72.120,71.549,71.924,-213.65742667665077,73173,81.422,81.620,80.932,81.568,179.3127164648385,92587,108.678,108.876,108.315,108.649,-26.684333535762864
2019-05-16 06:00,13581,109.586,109.968,109.336,109.848,239.08163451535825,14926,122.746,122.964,122.542,122.748,1.6293809981665797,20200,75.923,76.002,75.403,75.703,-289.76726420188726,34363,140.76,140.794,140.207,140.572,-133.5606706450612,71032,71.932,72.167,71.637,71.788,-200.1890674526017,62955,81.561,81.948,81.320,81.606,55.17342847683022,79063,108.653,108.900,108.479,108.764,102.16008761837226
2019-05-17 06:00,21213,109.848,110.192,109.496,110.069,201.187094894767,19688,122.748,122.997,122.277,122.793,36.66047511975894,22816,75.695,75.841,75.333,75.598,-128.14584847082926,47000,140.583,140.688,139.552,140.002,-413.2789882133607,77719,71.802,71.944,71.512,71.767,-48.74516030195648,84344,81.601,81.971,81.092,81.784,224.26195757405785,99628,108.762,108.984,108.374,108.885,113.09096927236044
2019-05-20 06:00,16560,110.132,110.320,109.809,110.062,-63.56009152653851,15475,122.917,123.194,122.540,122.868,-39.86429867309371,19766,76.118,76.391,75.813,76.03,-115.6099739877478,35616,140.268,140.533,139.702,140.02,-176.80440299996468,65980,71.891,72.132,71.754,71.908,23.646909905267567,64708,81.912,82.126,81.725,81.962,61.041117296607524,80424,108.952,109.130,108.812,109.117,151.44283721272325
2019-05-21 06:00,13994,110.078,110.673,110.022,110.492,376.09694943585595,15857,122.911,123.748,122.678,123.328,339.26987820455577,21734,76.036,76.284,75.623,76.058,28.933663001743348,52570,140.074,141.742,139.654,140.384,221.3115924439752,74993,71.922,72.078,71.589,71.87,-72.3005478156788,69757,81.968,82.548,81.927,82.424,556.3146593792737,88680,109.157,109.628,108.880,109.284,116.34618027246036
