Datetime,hour_range,day,Volume,Open,High,Low,Close
2020-06-23 18:00,18,23,1641,106.466,106.546,106.460,106.470
2020-06-23 19:00,19,23,2113,106.472,106.540,106.472,106.536
2020-06-23 20:00,20,23,740,106.537,106.551,106.498,106.526
2020-06-23 21:00,21,23,60,106.519,106.519,106.457,106.498
2020-06-23 22:00,22,23,794,106.494,106.548,106.456,106.466
2020-06-23 23:00,23,23,1516,106.464,106.488,106.411,106.426
2020-06-24 00:00,0,24,4047,106.424,106.638,106.384,106.548
2020-06-24 01:00,1,24,3511,106.546,106.591,106.444,106.492
2020-06-24 02:00,2,24,2811,106.490,106.552,106.422,106.532
2020-06-24 03:00,3,24,2208,106.532,106.578,106.498,106.528
2020-06-24 04:00,4,24,2138,106.528,106.580,106.517,106.574
2020-06-24 05:00,5,24,1870,106.574,106.601,106.538,106.560
2020-06-24 06:00,6,24,2707,106.562,106.613,106.544,106.592
2020-06-24 07:00,7,24,4091,106.591,106.648,106.575,106.601
2020-06-24 08:00,8,24,4708,106.602,106.602,106.477,106.526
2020-06-24 09:00,9,24,4079,106.524,106.554,106.462,106.508
2020-06-24 10:00,10,24,2593,106.510,106.550,106.480,106.528
2020-06-24 11:00,11,24,2225,106.530,106.601,106.504,106.594
2020-06-24 12:00,12,24,4720,106.595,106.804,106.569,106.756
2020-06-24 13:00,13,24,6023,106.758,106.904,106.711,106.852
2020-06-24 14:00,14,24,7614,106.853,106.966,106.821,106.896
2020-06-24 15:00,15,24,7004,106.898,106.984,106.787,106.826
2020-06-24 16:00,16,24,3437,106.827,106.902,106.817,106.829
2020-06-24 17:00,17,24,2277,106.828,106.922,106.818,106.917
2020-06-24 18:00,18,24,2149,106.916,106.950,106.896,106.940
2020-06-24 19:00,19,24,2511,106.942,107.032,106.938,107.025
2020-06-24 20:00,20,24,1374,107.024,107.072,107.003,107.042
2020-06-24 21:00,21,24,297,107.064,107.064,106.985,107.032
2020-06-24 22:00,22,24,966,107.028,107.150,107.024,107.051
2020-06-24 23:00,23,24,915,107.049,107.079,107.010,107.029
2020-06-25 00:00,0,25,3686,107.030,107.146,107.019,107.070
2020-06-25 01:00,1,25,2924,107.068,107.114,107.044,107.092
2020-06-25 02:00,2,25,3023,107.094,107.262,107.076,107.197
2020-06-25 03:00,3,25,2195,107.198,107.253,107.172,107.246
2020-06-25 04:00,4,25,2185,107.248,107.258,107.132,107.136
2020-06-25 05:00,5,25,1656,107.137,107.172,107.136,107.170
2020-06-25 06:00,6,25,3348,107.172,107.200,107.113,107.174
2020-06-25 07:00,7,25,5222,107.176,107.206,107.050,107.110
2020-06-25 08:00,8,25,5244,107.110,107.223,107.096,107.210
2020-06-25 09:00,9,25,3312,107.208,107.278,107.171,107.188
2020-06-25 10:00,10,25,3004,107.190,107.285,107.170,107.278
2020-06-25 11:00,11,25,3590,107.280,107.409,107.235,107.406
2020-06-25 12:00,12,25,5016,107.408,107.452,107.292,107.299
2020-06-25 13:00,13,25,5401,107.300,107.328,107.169,107.178
2020-06-25 14:00,14,25,5976,107.179,107.260,107.138,107.190
2020-06-25 15:00,15,25,4317,107.192,107.236,107.140,107.216
2020-06-25 16:00,16,25,2181,107.214,107.214,107.134,107.188
2020-06-25 17:00,17,25,2172,107.188,107.221,107.178,107.215
2020-06-25 18:00,18,25,1752,107.214,107.242,107.204,107.213
2020-06-25 19:00,19,25,2053,107.212,107.238,107.146,107.148
2020-06-25 20:00,20,25,1072,107.150,107.200,107.112,107.195
2020-06-25 21:00,21,25,1562,107.220,107.249,107.166,107.191
2020-06-25 22:00,22,25,565,107.188,107.206,107.150,107.164
2020-06-25 23:00,23,25,544,107.162,107.190,107.154,107.162
2020-06-26 00:00,0,26,3110,107.161,107.228,107.088,107.184
2020-06-26 01:00,1,26,2042,107.183,107.218,107.166,107.196
2020-06-26 02:00,2,26,1148,107.198,107.213,107.155,107.160
2020-06-26 03:00,3,26,1584,107.159,107.169,107.134,107.162
2020-06-26 04:00,4,26,2054,107.161,107.177,107.075,107.083
2020-06-26 05:00,5,26,1896,107.084,107.111,107.046,107.052
2020-06-26 06:00,6,26,2480,107.050,107.146,107.040,107.139
2020-06-26 07:00,7,26,3005,107.138,107.143,106.940,106.989
2020-06-26 08:00,8,26,3031,106.988,106.993,106.864,106.864
2020-06-26 09:00,9,26,2301,106.866,106.917,106.866,106.914
2020-06-26 10:00,10,26,2311,106.915,106.960,106.864,106.881
2020-06-26 11:00,11,26,3364,106.880,106.993,106.800,106.992
2020-06-26 12:00,12,26,3277,106.990,107.056,106.908,107.046
2020-06-26 13:00,13,26,4932,107.048,107.194,107.020,107.160
2020-06-26 14:00,14,26,6348,107.158,107.353,107.116,107.328
2020-06-26 15:00,15,26,4929,107.326,107.356,107.182,107.192
2020-06-26 16:00,16,26,3556,107.194,107.203,107.110,107.144
2020-06-26 17:00,17,26,2300,107.146,107.173,107.102,107.150
2020-06-26 18:00,18,26,2076,107.152,107.206,107.138,107.190
2020-06-26 19:00,19,26,1818,107.189,107.210,107.172,107.186
2020-06-26 20:00,20,26,749,107.188,107.229,107.160,107.219
2020-06-28 21:00,21,28,86,107.160,107.264,107.112,107.135
2020-06-28 22:00,22,28,646,107.140,107.251,107.132,107.170
2020-06-28 23:00,23,28,916,107.169,107.236,107.139,107.233
2020-06-29 00:00,0,29,2586,107.232,107.272,107.156,107.270
2020-06-29 01:00,1,29,2594,107.268,107.375,107.245,107.268
2020-06-29 02:00,2,29,1392,107.267,107.286,107.159,107.170
2020-06-29 03:00,3,29,1966,107.169,107.204,107.124,107.146
2020-06-29 04:00,4,29,2557,107.145,107.164,107.041,107.086
2020-06-29 05:00,5,29,2387,107.084,107.144,107.084,107.108
2020-06-29 06:00,6,29,3102,107.106,107.146,107.052,107.114
2020-06-29 07:00,7,29,3081,107.115,107.202,107.108,107.195
