Datetime,Volume,Open,High,Low,Close
2020-01-24 02:00,1213,109.470,109.490,109.446,109.456
2020-01-24 03:00,679,109.458,109.478,109.451,109.476
2020-01-24 04:00,960,109.478,109.546,109.469,109.540
2020-01-24 05:00,865,109.542,109.550,109.512,109.548
2020-01-24 06:00,844,109.547,109.559,109.518,109.528
2020-01-24 07:00,1578,109.527,109.552,109.508,109.546
2020-01-24 08:00,3189,109.544,109.654,109.541,109.636
2020-01-24 09:00,2761,109.634,109.644,109.564,109.570
2020-01-24 10:00,1608,109.568,109.590,109.522,109.564
2020-01-24 11:00,1561,109.562,109.628,109.562,109.612
2020-01-24 12:00,1147,109.614,109.626,109.588,109.619
2020-01-24 13:00,1648,109.618,109.623,109.523,109.536
2020-01-24 14:00,3482,109.534,109.561,109.431,109.460
2020-01-24 15:00,5541,109.458,109.468,109.318,109.442
2020-01-24 16:00,4500,109.440,109.467,109.319,109.325
2020-01-24 17:00,4565,109.324,109.355,109.247,109.320
2020-01-24 18:00,3780,109.322,109.324,109.222,109.258
2020-01-24 19:00,4463,109.256,109.266,109.173,109.256
2020-01-24 20:00,5113,109.255,109.326,109.231,109.289
2020-01-24 21:00,718,109.288,109.296,109.242,109.279
2020-01-26 22:00,1093,108.940,109.049,108.888,108.911
2020-01-26 23:00,6844,108.908,108.952,108.732,108.801
2020-01-27 00:00,6555,108.800,109.034,108.794,109.028
2020-01-27 01:00,2198,109.026,109.032,108.938,108.978
2020-01-27 02:00,2281,108.980,108.980,108.877,108.936
2020-01-27 03:00,1590,108.938,109.069,108.937,109.037
2020-01-27 04:00,1476,109.036,109.122,109.012,109.103
2020-01-27 05:00,1638,109.102,109.114,109.032,109.046
2020-01-27 06:00,1709,109.048,109.090,109.031,109.064
2020-01-27 07:00,2791,109.063,109.099,109.010,109.054
2020-01-27 08:00,4148,109.055,109.138,109.006,109.019
2020-01-27 09:00,5208,109.018,109.019,108.846,108.893
2020-01-27 10:00,3196,108.892,108.944,108.862,108.862
2020-01-27 11:00,3353,108.860,108.957,108.828,108.902
2020-01-27 12:00,3946,108.904,109.005,108.902,108.955
2020-01-27 13:00,3819,108.956,109.063,108.922,109.026
2020-01-27 14:00,8654,109.027,109.098,108.853,108.996
2020-01-27 15:00,6382,108.998,109.008,108.878,108.912
2020-01-27 16:00,5748,108.911,109.006,108.874,108.958
2020-01-27 17:00,3680,108.957,109.060,108.952,109.007
2020-01-27 18:00,3085,109.009,109.067,108.982,108.996
2020-01-27 19:00,2694,108.998,109.007,108.921,108.922
2020-01-27 20:00,3173,108.923,108.964,108.878,108.892
2020-01-27 21:00,1311,108.890,108.918,108.866,108.896
2020-01-27 22:00,101,108.891,108.918,108.884,108.917
2020-01-27 23:00,1126,108.916,108.964,108.898,108.932
2020-01-28 00:00,2582,108.932,108.966,108.820,108.851
2020-01-28 01:00,3432,108.852,109.048,108.840,109.029
2020-01-28 02:00,1947,109.028,109.034,108.956,109.004
2020-01-28 03:00,1105,109.003,109.007,108.973,109.003
2020-01-28 04:00,1308,109.002,109.022,108.970,108.980
2020-01-28 05:00,1345,108.979,109.042,108.947,109.028
2020-01-28 06:00,1976,109.028,109.064,109.005,109.063
2020-01-28 07:00,2146,109.064,109.101,109.042,109.085
2020-01-28 08:00,4595,109.083,109.083,108.890,108.918
2020-01-28 09:00,6372,108.917,108.918,108.756,108.825
2020-01-28 10:00,2553,108.824,108.882,108.815,108.858
2020-01-28 11:00,2720,108.857,108.917,108.774,108.895
2020-01-28 12:00,4482,108.896,109.092,108.861,109.062
2020-01-28 13:00,3480,109.060,109.074,109.002,109.030
2020-01-28 14:00,4775,109.031,109.033,108.928,109.011
2020-01-28 15:00,5535,109.012,109.203,109.010,109.144
2020-01-28 16:00,3339,109.143,109.176,109.088,109.171
2020-01-28 17:00,2257,109.170,109.198,109.118,109.131
2020-01-28 18:00,1689,109.132,109.138,109.104,109.132
2020-01-28 19:00,1884,109.134,109.173,109.124,109.142
2020-01-28 20:00,1883,109.140,109.156,109.101,109.118
2020-01-28 21:00,1379,109.117,109.174,109.116,109.148
2020-01-28 22:00,495,109.143,109.266,109.119,109.241
2020-01-28 23:00,2563,109.240,109.240,109.080,109.136
2020-01-29 00:00,2762,109.135,109.164,109.076,109.113
2020-01-29 01:00,4072,109.114,109.236,109.076,109.198
2020-01-29 02:00,1978,109.199,109.224,109.148,109.188
2020-01-29 03:00,1155,109.189,109.232,109.184,109.206
2020-01-29 04:00,836,109.205,109.213,109.182,109.196
2020-01-29 05:00,1375,109.197,109.202,109.127,109.127
2020-01-29 06:00,1338,109.128,109.138,109.083,109.103
2020-01-29 07:00,2267,109.104,109.119,109.036,109.102
2020-01-29 08:00,3785,109.101,109.157,109.038,109.084
2020-01-29 09:00,2532,109.083,109.099,109.008,109.027
2020-01-29 10:00,1738,109.028,109.097,109.028,109.092
2020-01-29 11:00,1521,109.092,109.118,109.058,109.082
2020-01-29 12:00,1858,109.083,109.134,109.076,109.115
2020-01-29 13:00,2350,109.116,109.164,109.092,109.148
2020-01-29 14:00,3827,109.150,109.188,109.038,109.067
2020-01-29 15:00,5176,109.065,109.186,108.976,109.157
2020-01-29 16:00,2314,109.158,109.186,109.133,109.156
2020-01-29 17:00,1387,109.155,109.180,109.136,109.153
2020-01-29 18:00,1451,109.152,109.224,109.148,109.202
2020-01-29 19:00,4342,109.198,109.266,109.033,109.037
2020-01-29 20:00,5932,109.039,109.101,108.996,109.060
2020-01-29 21:00,1888,109.062,109.086,109.012,109.020
2020-01-29 22:00,685,109.012,109.075,108.996,109.012
2020-01-29 23:00,1595,109.013,109.064,108.949,108.988
2020-01-30 00:00,3639,108.989,109.046,108.934,108.969
2020-01-30 01:00,3359,108.970,108.989,108.902,108.950
2020-01-30 02:00,3281,108.950,108.956,108.870,108.896
2020-01-30 03:00,2764,108.898,108.942,108.865,108.878
2020-01-30 04:00,1804,108.878,108.932,108.845,108.908
2020-01-30 05:00,2024,108.906,108.923,108.856,108.920
2020-01-30 06:00,1623,108.921,108.959,108.905,108.905
2020-01-30 07:00,5743,108.904,108.928,108.808,108.864
2020-01-30 08:00,5192,108.866,108.909,108.818,108.883
2020-01-30 09:00,3629,108.884,108.977,108.866,108.903
2020-01-30 10:00,2704,108.904,108.953,108.888,108.924
2020-01-30 11:00,2500,108.926,108.927,108.847,108.894
2020-01-30 12:00,3480,108.896,108.897,108.767,108.784
2020-01-30 13:00,5379,108.782,108.936,108.773,108.899
2020-01-30 14:00,5692,108.900,109.012,108.852,108.903
2020-01-30 15:00,6644,108.902,108.956,108.650,108.673
2020-01-30 16:00,4980,108.672,108.802,108.661,108.746
2020-01-30 17:00,5462,108.748,108.782,108.584,108.606
2020-01-30 18:00,3548,108.608,108.680,108.588,108.634
2020-01-30 19:00,10420,108.634,108.858,108.610,108.767
2020-01-30 20:00,8192,108.768,108.918,108.762,108.912
2020-01-30 21:00,2027,108.911,108.999,108.906,108.960
2020-01-30 22:00,362,108.964,108.969,108.923,108.936
2020-01-30 23:00,1521,108.938,108.943,108.879,108.893
2020-01-31 00:00,4012,108.892,109.071,108.890,109.052
2020-01-31 01:00,4439,109.051,109.135,109.012,109.054
2020-01-31 02:00,3211,109.055,109.110,109.050,109.060
2020-01-31 03:00,1917,109.061,109.127,109.026,109.075
2020-01-31 04:00,958,109.074,109.090,109.048,109.089
2020-01-31 05:00,1305,109.088,109.104,109.058,109.074
2020-01-31 06:00,1698,109.074,109.076,109.006,109.036
2020-01-31 07:00,2312,109.038,109.086,109.023,109.052
2020-01-31 08:00,3039,109.052,109.071,109.002,109.021
2020-01-31 09:00,2764,109.020,109.033,108.925,108.970
2020-01-31 10:00,3236,108.968,108.989,108.890,108.948
2020-01-31 11:00,2638,108.946,108.982,108.916,108.917
2020-01-31 12:00,2055,108.918,108.965,108.914,108.964
2020-01-31 13:00,3494,108.964,108.968,108.826,108.852
2020-01-31 14:00,5131,108.853,108.888,108.722,108.758
2020-01-31 15:00,8440,108.756,108.774,108.357,108.403
2020-01-31 16:00,10299,108.406,108.522,108.312,108.506
2020-01-31 17:00,7938,108.504,108.526,108.342,108.424
2020-01-31 18:00,5675,108.422,108.456,108.328,108.415
2020-01-31 19:00,4641,108.417,108.448,108.332,108.350
2020-01-31 20:00,7354,108.351,108.422,108.307,108.352
2020-01-31 21:00,1239,108.354,108.382,108.335,108.358
2020-02-02 22:00,397,108.432,108.474,108.318,108.352
2020-02-02 23:00,4003,108.351,108.416,108.327,108.388
2020-02-03 00:00,4580,108.389,108.567,108.366,108.490
2020-02-03 01:00,9695,108.488,108.582,108.416,108.562
2020-02-03 02:00,4394,108.564,108.571,108.473,108.484
2020-02-03 03:00,2859,108.482,108.552,108.474,108.546
2020-02-03 04:00,1306,108.548,108.552,108.474,108.478
2020-02-03 05:00,1942,108.479,108.534,108.478,108.530
2020-02-03 06:00,1744,108.528,108.528,108.474,108.524
2020-02-03 07:00,4059,108.522,108.700,108.496,108.628
2020-02-03 08:00,6135,108.626,108.652,108.464,108.612
2020-02-03 09:00,3994,108.614,108.614,108.507,108.507
2020-02-03 10:00,2983,108.506,108.530,108.419,108.420
2020-02-03 11:00,2644,108.422,108.540,108.419,108.528
2020-02-03 12:00,1681,108.526,108.533,108.484,108.512
2020-02-03 13:00,2645,108.514,108.578,108.508,108.541
2020-02-03 14:00,4023,108.542,108.673,108.484,108.630
2020-02-03 15:00,8950,108.631,108.799,108.588,108.712
2020-02-03 16:00,5625,108.714,108.732,108.522,108.594
2020-02-03 17:00,3377,108.592,108.680,108.553,108.665
2020-02-03 18:00,2766,108.666,108.674,108.590,108.672
2020-02-03 19:00,2658,108.674,108.694,108.630,108.677
2020-02-03 20:00,2325,108.676,108.745,108.661,108.690
2020-02-03 21:00,1004,108.688,108.701,108.666,108.683
2020-02-03 22:00,202,108.688,108.714,108.650,108.667
2020-02-03 23:00,1327,108.666,108.674,108.583,108.619
2020-02-04 00:00,2392,108.620,108.658,108.574,108.594
